cluster,hn_title,news_title,news_domain,cosine_proxy,same_event
114,Feds Might Flip the Script on Right to Repair Vehicle Emissions Systems,"Westport Properties Develops New Self Storage Facility in Covina , California",prnewswire.com,0.1213185042142868,
154,An Accounting Rule Inflated S&P 500's Q1 Earnings by 12%,International Business Machines ( IBM ) Upgraded by JPMorgan as Software Growth Boosts Outlook,finance.yahoo.com,0.21465986967086792,
255,H-1B Visas Skyrocket Despite Trump Admin Crackdown,Carlisle local opens new mobile phone repair shop in city,newsandstar.co.uk,-0.010607672855257988,
51,Fata Morgana (Mirage),Alfredo Di Stéfano at 100 : Remembering the man who built Real Madrid global legacy,managingmadrid.com,0.16805416345596313,
321,You don't need Electron to build native apps in TypeScript [video],"Apple Watch to get  major overhaul  next year , says leaker",9to5mac.com,0.1371890902519226,
214,"The Stockholm Telephone Tower with Approximately 5,500 Telephone Lines, 1890",Commodore predstavio Callback 8020 : Linux mobitel koji oslobađa od ovisnosti o surfanju i mrežama,bug.hr,0.30338865518569946,
355,Don't Provoke Russia,Ray Kurzweil Unveils RAI,prnewswire.com,0.21460965275764465,
399,Why Switzerland has 25 gbit internet and America doesn't,Relay For America Unites Americans  One Mile At A Time  ,thefederalist.com,0.23191843926906586,
288,"Show HN: HyperPaste – a free, open-source clipboard manager for macOS",Border Force : America Gatekeepers,tvguide.co.uk,0.09592284262180328,
323,Most UK media reports on June heatwave failed to mention climate crisis,HMRC issues update over  split allowance  tax code rule,chroniclelive.co.uk,0.09136725962162018,
331,GitHub Issues as Untrusted Input,"COREN Moves Against Quack Engineers , Fake Certificates",punchng.com,0.31271064281463623,
341,Mailbox Suite for Individuals and Businesses,Historical Materialism ; everything else is marketing . ,dailykos.com,0.08457568287849426,
339,Prefer strict tables in SQLite,Stocks Retreat as Tech Shares Plunge,finance.yahoo.com,-0.01919596642255783,
200,Special forces ban Volvo/Chinese electric cars over spying fears,Chinese man banned from Taiwan after filming airport restricted areas,taipeitimes.com,0.29814407229423523,
75,GPT-Red: an LLM super-hacker OpenAI built to make its models safer,Taking on Mythos : OpenAI rolls out cyberdefence model Daybreak to speed up software security fixes,economictimes.indiatimes.com,0.6232023239135742,
152,Knoppix,Hakerski udar na farmaceutsku firmu Novo Nordisk : Ukradeno više od terabajta podataka,24sata.hr,0.18776415288448334,
351,No LLM Code in Dependencies,M365 Copilot SearchLeak : Your prompt injection attack surface just got bigger,csoonline.com,0.09677144885063171,
201,The Economy of Tokens,Is Penguin Solutions the Next Big AI Stock ? ,finance.yahoo.com,0.37404078245162964,
370,The costs and benefits of research grant funding peer review,Purpose Investments Inc . Announces June 2026 Distributions,montrealgazette.com,0.2799457013607025,
214,GameBoy Emulator in WASM,Commodore predstavio Callback 8020 : Linux mobitel koji oslobađa od ovisnosti o surfanju i mrežama,bug.hr,0.3663221597671509,
149,Ergo: Long Form Philosophy Lectures,Greta Scarano biografia,comingsoon.it,0.13002866506576538,
155,A Gang of Thieves Pulled Off a Multimillion-Dollar Data Center Heist,Erin Brockovich Launches Plan to Take on AI Data Centers Around the Country,breitbart.com,0.29023033380508423,
283,"Using PowerShell over SSH, Twenty Years Later",Claude Desktop für macOS - Download,chip.de,0.14576740562915802,
326,Unifi Network 10.5,OpenAI Eyes 2027 IPO Delay As Washington Clears Anthropic Mythos 5,forbes.com,0.287479043006897,
368,How does food get traded around the world?,Inner Mongolia key hub to Sino - EU trade,europe.chinadaily.com.cn,0.39213237166404724,
380,How to get the smell of cigarette smoke out of your hair,  인앱결제  벽 만난 SOOP … 아웃링크  활용 별풍선 자동충전 강화,etnews.com,0.22268368303775787,
383,How to Write an Email,"Nationalism is Toxic Poison ... Unless It Ilhan Omar Twerking for Somalia , Then It Beautiful Pride",twitchy.com,0.011106336489319801,
397,"Tokyo has only two barley tea makers, we visited one to see how mugicha is made",OpenAI deepens Japan footprint with Hitachi deal,computerweekly.com,0.2845287322998047,
350,On the Efficacy of PyTorch for High-Performance Computing,Linux 7 . 2 Gets Rid Of The Last Optimized MD5 Implementation,phoronix.com,0.13107913732528687,
192,3D necroprinting: Leveraging biotic material as the nozzle for 3D printing,Paper cups can now go in your blue recycling bin in Manitoba,cbc.ca,0.21059134602546692,
362,"Don't expect trackers to save your stolen car, experts say",Meta Halts Employee Data Tracking After Sensitive Info Reportedly Exposed,cnet.com,0.27872005105018616,
1,Show HN: Worldreleasenotes.com/Countries,  七一勋章  映照初心使命|高尚|绶带 _ 网易政务,163.com,0.12731201946735382,
196,"Cepis Warns EU Against ""Backdoor"" Chat Monitoring in Child Protection Debate",MeitY seeks India root server for internet resilience,medianama.com,0.15259237587451935,
166,Debian New Maintainers' Guide,How To Handle The Pressure Of A New Job Without Spectacularly Failing,forbes.com,0.16495636105537415,
193,Show HN: I built an encrypted BLE dongle for pasting stuff to air-gapped devices,ഫോൾഡബിൾ ഐഫോണിനൊപ്പം കാമറയുള്ള എയർപോഡ്സും ; 2027ൽ വമ്പൻ സർപ്രൈസുകളുമായി ആപ്പിൾ | Foldable iPhone and AirPods with camera ; Apple with big surprises in 2027,madhyamam.com,0.3225165009498596,
71,Is the EU Becoming a Banana Republic with Chat Control?,ChatGPT Ads To Compete With Google Maps,mediapost.com,0.24281734228134155,
242,A2A Protocol,Apple confirms AirPort Utility app is going away soon,9to5mac.com,0.1259409785270691,
91,Steam Machine Releases with KDE Plasma,Bundeswehr : Tornado - Kampfjets kehren nach Büchel zurück,stern.de,0.2897934913635254,
108,The Tech Innovations Readers Want to See in the Next 20 Years,CobbleStone Software Announces July 17th Virtual Masterclass is a Week Away,prnewswire.com,0.19944149255752563,
230,"Sous-Chef, a Claude Code plugin where Fable reviews, Codex implements",5 Things You Should Avoid Doing On Your Steam Deck,bgr.com,0.17867743968963623,
204,The Fonts of the U.S. Federal Courts,AI小说写作帮手app下载安装 - AI小说写作帮手app官方版下载v1 . 0 . 1 _ 3DM手游,shouyou.3dmgame.com,0.1797110140323639,
211,Building Principia for Windows XP,"Ljetna ponuda softvera - Windows 11 Pro samo 12 , 06 € , Office paket već od 17 €",bug.hr,0.33718329668045044,
115,Benchmarking 15 “E-Waste” GPUs with Modern Workloads,Exclusive : Mindbeam touts dramatic performance improvements in CPU - based AI inference,siliconangle.com,0.24580813944339752,
75,From Open Source Software to Open Source Strategy,OpenAI engineer  LOL  moment set stage for legal light with Apple,watoday.com.au,0.3002520799636841,
28,"Any guesses about BS short name after FAANG, ZIRP and MAG7?","Branding Potensi Daerah , DKUKMPP Bantul Dorong KDMP Angkat dan Jual Produk Lokal",jogja.tribunnews.com,0.18632034957408905,
212,You matter more than you think,"Man Thinks MIL Obsession With Unborn Grandchild Is Escalating , One Comment Crosses The Line",boredpanda.com,0.1631377935409546,
44,Email Verification Protocol – Chrome for Developers,Sign in with Apple and iCloud+ Hide My Email are merging to lessen your memory burden,digitaltrends.com,0.24614214897155762,
159,Feds pay Duke Energy $129M for Brunswick County wind lease termination,"Playwright of New Musical ,  In America , Hal Harper Renounces Pen Name - Reclaims Original , David Lisker",prnewswire.com,0.004909250885248184,
256,Starting and iterating on a Kaggle competition in Google Antigravity,Is Alphabet ( GOOGL ) the Best Stock to Buy in Chris Hohn TCI Fund Portfolio ? ,finance.yahoo.com,0.16679039597511292,
161,You Might Be a Late Bloomer (2024),Longest Day of Year 2026 Marks The Summer Solstice and The Most Daylight,oneindia.com,0.2849227488040924,
56,China caught the first stage of a Long March 10B in a net,Economic indicators point to resilient Indian economy despite global headwinds : MoSPI Secretary,economictimes.indiatimes.com,0.08169478178024292,
32,Life After Oligarchy,5 Stocks That Will Make You Rich Over the Next 3 Years,insidermonkey.com,0.2163151353597641,
391,Show HN: Debian 13 to ISO and Back,Win10解决CRITICAL _ PROCESS _ DIED _ 软件资讯技巧应用 - 中关村在线,soft.zol.com.cn,0.009864581748843193,
63,Te Lapa,"Terni , caffè e cornetto alle stelle . I baristi si difendono : gli aumenti sono inevitabili",leggo.it,0.4209865927696228,
22,Show HN: Jdan's Japan subway station icons,10款热门大空间SUV深度横评 ： 乘坐空间最宽敞的SUV谁的得房率最高 ？ ,k.sina.com.cn,0.2705745995044708,
343,"NSW Police infiltrate 'VIP Network' underworld phones, send warning message",Citi Maintains Buy Rating on AppLovin ( APP ) ,insidermonkey.com,0.16084729135036469,
217,Plants get wearables to track their health,JAXA starts AMSR3 data release for GOSAT - GW sensor,jp.ibtimes.com,0.08661429584026337,
203,The Founder Who Got Fired for Ignoring His Own Return-to-Office Rules,"Toxic Boss Loses All His Clients , Forced To Close Company After Mistreated Employee Takes Revenge",boredpanda.com,0.47999072074890137,
222,Quran MCP,  มัทฉะ - น้ำมะพร้าว  ดื่มแล้วมดลูกเย็น ทำให้อาการ PCOS แย่ลง ? : เช็กข่าวชัวร์,sanook.com,0.12495581060647964,
155,City on the Edge: Can San Francisco's soul survive techno-capitalism?,U . S . Power Spending on Coal and Gas Set to Surpass China as Data Center Demand Drives $50 Billion Investment – NaturalNews . com,naturalnews.com,0.2126629650592804,
324,"Lawmakers Call for CDC to Track Vitamin K Shot Refusals, Cite ProPublica Report",Hawaii vampire law gets staked,americanthinker.com,0.2616738975048065,
361,Natural Born Bloggers,Herald afternoon quiz : July 5 - New Zealand News,nzherald.co.nz,0.22620651125907898,
276,GPT-5.6-sol without hitting limits,GPT - 6 Release Rumors : Is OpenAI Finished Training ? ,geeky-gadgets.com,0.34884411096572876,
166,Rekor – immutable tamper resistant metadata ledger,"I stopped using beginner Linux distros , and my workflow finally made sense",howtogeek.com,0.0702543556690216,
23,The Military and the Republic,"Pakistan không kích xuyên biên giới , thương vong lớn tại Afghanistan",vov.vn,0.1865939050912857,
37,Graphic Data Processing – 1965 IBM System/360 Computer Lecture and Demonstration [video],Cloudera 与 VAST Data 宣布建立战略合作伙伴关系 ， 携手为复杂环境部署AI数据平台 - 云计算 · 大数据专区,cloud.it168.com,0.31344473361968994,
