cluster,hn_title,news_title,news_domain,cosine,same_event,adjudicator
1372,Anthropic commits $10M to Canadian AI research,Anthropic Makes Claude Free for All US K - 12 Teachers With Standards - Aligned Agentic AI,techtimes.com,0.512,0,LLM (Claude); authors to verify
7963,5Gi: India's own 5G technology [pdf],"India 5G Upload Speed and Latency Challenge AI Workloads : Ookla Study Reveals Critical Constraints , ETTelecom",telecom.economictimes.indiatimes.com,0.629,0,LLM (Claude); authors to verify
5769,"On-Device Intelligence – shipping local AI on Apple platforms, compiler-verified",Granola CEO Outlines Strategy To Own AI - Native Work Interface · Digg,digg.com,0.427,0,LLM (Claude); authors to verify
11071,Scientists Solve Mystery of Bizarre 'Alien Megastructure' Star,"Have Astronomers Found Alien Megastructures After All ? ( No , Probably Not ) ( Synopsis ) ",scienceblogs.com,0.71,1,LLM (Claude); authors to verify
4459,Tenor GIF API shuts down today,"Dont panic , Discord isnt losing GIFs as Google shuts down Tenor API",pcgamesn.com,0.74,1,LLM (Claude); authors to verify
426,AOC says 'we need to break up these companies' after Apple raises prices by $200,"Apple to raise prices due to memory chip shortage , CEO tells WSJ",thestar.com.my,0.572,1,LLM (Claude); authors to verify
4438,Anthropic's Sonnet 5 system card says more about the future of AI than benches,"Anthropic launches cheaper Claude Sonnet 5 model , as tech searches for AI savings",finance.yahoo.com,0.653,1,LLM (Claude); authors to verify
2198,Show HN: A Kagi News–style news aggregator for Zimbabwe,Kagi News is my new favorite Google News alternative,androidauthority.com,0.63,0,LLM (Claude); authors to verify
12359,Weakening copyright to benefit AI would betray Australian Labor party's ethos,The PM has pledged to protect artist copyright . But without action on AI theft it is all hot air,theconversation.com,0.614,1,LLM (Claude); authors to verify
1579,GPT 5.5 (high) is as good at coding as Claude Fable (medium) at a lower cost,"Ben ( no treats ) argues massive models are overrated for daily coding due to latency , preferring a faster GPT - 5 . 5 · Digg",digg.com,0.611,1,LLM (Claude); authors to verify
3054,York Air Map – Air quality information for cyclists and the community,Air Quality Health Advisory Issued for New York City Metro Region,dec.ny.gov,0.635,0,LLM (Claude); authors to verify
13667,OpenAI's first branded hardware is a light-up keyboard?,"OpenAI Codex Micro keypad for Codex with RGB agent status , joystick announced",fonearena.com,0.535,1,LLM (Claude); authors to verify
13100,"OpenAI's First Device Will Be Movable, Screenless Speaker",OpenAI smart speaker sounds like a cross between a HomePod and a Furby,mashable.com,0.586,1,LLM (Claude); authors to verify
13221,Third-party app stores coming to Google Play next week as Epic settlement wit,Android biggest store - within - a - store shakeup starts next week,androidauthority.com,0.549,1,LLM (Claude); authors to verify
2998,Google warns EU's plans to weaken its monopoly could expose user data,Google says EU Search and Android proposals may increase cybercrime . ,theverge.com,0.62,1,LLM (Claude); authors to verify
9758,"Migrating a production AI agent to GPT-5.6: 2.2x faster, 27% cheaper",An AI agent demo shows GPT - 5 . 6 Sol executing rapid 3D modeling inside Blender 4 . 5 . 4 at 750 tokens per second · Digg,digg.com,0.696,0,LLM (Claude); authors to verify
2923,India asks WhatsApp to pause username feature rollout over fraud concerns,WhatsApp will allow usernames instead of phone numbers – NBC Connecticut,nbcconnecticut.com,0.528,1,LLM (Claude); authors to verify
4877,Fable Is Back: This Safeguard Has Some AI in It,HIGH Reasoning Sweet Spot for Anthropic Fable and OpenAI GPT 5 . 6,nextbigfuture.com,0.48,0,LLM (Claude); authors to verify
8126,Apple Loses EU Fight Over App Store Gatekeeper Label,Apple loses bid to overturn its designation as a gatekeeper under EU Digital Markets Act,gsmarena.com,0.639,1,LLM (Claude); authors to verify
4521,"Claude Sonnet 5 Could Be Released Later Today, May Not Be Better Than Opus 4.8",Spotted backend preparations spark speculation that a Claude Sonnet 5 release is imminent · Digg,digg.com,0.706,1,LLM (Claude); authors to verify
10725,2028 Could Bring the Most Mind-Bendingly Expensive Apple Product of All Time,Prediction : Apple Will Be Worth $5 Trillion ( or More ) by the End of 2026,fool.com,0.772,0,LLM (Claude); authors to verify
8441,AI Girlfriend vs. Real Therapy: The Real Difference,"Study Finds AI Therapists Are Great , Except When It Really Matters",dailycaller.com,0.634,0,LLM (Claude); authors to verify
2907,"Nvidia, CoreWeave, and Nebius: Inside the Circular Financing of the GPU Boom","This AI Chip Stock Just Signed Massive Deals With 3 Hyperscalers , and It Still Looks Like a Great Buy Right Now ( Hint : Not Nvidia or Intel ) ",fool.com,0.495,0,LLM (Claude); authors to verify
9133,The Three-Second Theft: Why AI Voice Fraud Outruns Every Defence,AI - Powered Scams Are Getting Smarter : Why Old Fraud Warning Signs No Longer Work and How to Stay Safe Online,gulfnews.com,0.582,0,LLM (Claude); authors to verify
1138,Anthropic reveals a workspace in Claude that mirrors a theory of consciousness,Anthropic a une bonne nouvelle pour les abonnés Claude,01net.com,0.494,0,LLM (Claude); authors to verify
949,"BofA Saw OpenAI as Too Risky, but Now the Bank Wants to Cash in on IPO","OpenAI leans toward waiting until next year for IPO , NYT reports",economictimes.indiatimes.com,0.619,1,LLM (Claude); authors to verify
4545,NPR retracts story about Alito retirement,"NPR Announces , and Retracts , Alito Retirement Story",reason.com,0.927,1,LLM (Claude); authors to verify
6522,I am building a browser for agents,The Agentic Web Is Splitting Into Two Bets : Identity And Capability,searchenginejournal.com,0.492,0,LLM (Claude); authors to verify
1271,"Once, cyber-attacks required great skill. AI is changing that",CDNetwork Latest WAAP Report Finds AI Is Industrializing Cyberattacks,manilatimes.net,0.532,0,LLM (Claude); authors to verify
429,Cloudflare Announces Research Pilot with OpenAI,OpenAI newest AI ambassador ? Someone grandma,marketing-interactive.com,0.56,0,LLM (Claude); authors to verify
1063,"Urn in Aadhaar: Meaning, Benefits, Process and Key Details – SMFG India Credit","Child Aadhaar Download : 3 तरीकों से डाउनलोड करें  ब्लू आधार , आपके बच्चे के लिए जरूरी , समझें एक - एक स्टेप - child aadhaar download online blue aadhaar download aadhaar app uidai website digilocker steps process mobile",navbharattimes.indiatimes.com,0.482,0,LLM (Claude); authors to verify
1714,"Happy 250th Birthday, America","Watch Live : America 250 birthday celebrations , performances and fireworks",zennie62blog.com,0.615,1,LLM (Claude); authors to verify
10272,China-made CXMT memory now supports faster speeds on MSI's AMD motherboards,"Colorful Smashes CXMT DDR5 Record At 8600 MT / s , Beating MSI And ASUS As China Memory Matures",wccftech.com,0.648,1,LLM (Claude); authors to verify
9565,OpenAI CEO of Applications Fidji Simo steps down due to chronic illness,"After Fidji Simo , OpenAI head of safety says he is leaving : List of high - profile departures from ChatGPT - maker",timesofindia.indiatimes.com,0.632,1,LLM (Claude); authors to verify
12588,Google gives Swiss Android users fewer search options than their EU counterparts,Swiss Watchdog Probes Google Over Android Search Settings,theepochtimes.com,0.684,1,LLM (Claude); authors to verify
12543,Codex starts encrypting sub-agent prompts,"OpenAI hides Codex agent instructions behind encryption , leaving developers in the dark",theregister.com,0.635,1,LLM (Claude); authors to verify
1077,There's a Reason Women Aren't Swooning over AI Like Men Are,AI is Already Rewriting Reality for Billions of People – But It is Getting Women Wrong,globalissues.org,0.711,0,LLM (Claude); authors to verify
4008,"After Trump's reelection, these U.S. scientists found jobs in the U.K","After Trump re - election , these U . S . scientists found jobs in the U . K . ",wnyc.org,0.948,1,LLM (Claude); authors to verify
1177,Zuckerberg Urges Meta to Explore Working with Polymarket and Kalshi,Meta Reportedly Developing  Arena  Prediction Markets App to Rival Polymarket and Kalshi,finance.yahoo.com,0.536,1,LLM (Claude); authors to verify
2284,DeepSeek V4 official release coming in mid-July with 2x peak-hour API pricing,DeepSeek V4 DeepSpec Release and the Rise of Open - Source AI,geeky-gadgets.com,0.63,1,LLM (Claude); authors to verify
13022,"Lawsuit claims Meta's layoff decisions were made by AI, not humans",Lawsuit claims AI - powered discrimination in recent Meta layoffs,mashable.com,0.813,1,LLM (Claude); authors to verify
2943,Claude in Microsoft Foundry is now generally available,Claude models launch in Microsoft Foundry with full Azure integration,tech.yahoo.com,0.656,1,LLM (Claude); authors to verify
8392,Grok 4.5,"SpaceX releases Grok 4 . 5 , first model built alongside Cursor",proactiveinvestors.com,0.713,1,LLM (Claude); authors to verify
8674,"SpaceXAI launches Grok 4.5 model for coding, agentic tasks",SPACEXAI Grok 4 . 5 is as Good as Anthropic Opus BUT One - quarter of the COST,nextbigfuture.com,0.572,1,LLM (Claude); authors to verify
2899,Cursor for iOS,Cursor releases iPhone and iPad app following recent acquisition by SpaceX,9to5mac.com,0.684,1,LLM (Claude); authors to verify
2334,Feedback about a Visualping alternative using AI to monitor websites,I knew there was plenty of AI slop on LinkedIn . Shocking report says the problem is far worse than suspected,digitaltrends.com,0.38,0,LLM (Claude); authors to verify
